date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:24	6406/6406	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2014%20Mar%202025%2017:10:24%20GMT	https://patrimonio-fc567d.webflow.io/robots.txt		(from )
12:10:24	35385/35385	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2017:08:55%20GMT	https://patrimonio-fc567d.webflow.io/	C:/Users/INNOVA/Downloads/Patrimonio2/patrimonio-fc567d.webflow.io/index.html	(from )
12:10:25	77636/77636	---M-Z	200	added ('OK')	text/css	etag:%22421bd0ec562e78f13e088451178adc22%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/css/patrimonio-fc567d.webflow.91e7c35e1.css	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/css/patrimonio-fc567d.webflow.91e7c35e1.css	(from https://patrimonio-fc567d.webflow.io/)
12:10:25	1895/1895	---M--	200	added ('OK')	image/jpeg	etag:%222b600d8ca4983e705fbc6bcc7a77f2d5%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e27_favicon.jpg	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e27_favicon.jpg	(from https://patrimonio-fc567d.webflow.io/)
12:10:25	13197/13197	---M--	200	added ('OK')	image/jpeg	etag:%223116051ddfe6ecfbe527dc674e789864%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e28_webclip.jpg	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e28_webclip.jpg	(from https://patrimonio-fc567d.webflow.io/)
12:10:26	770/770	---M-Z	200	added ('OK')	text/css	etag:%225eb03fbf-302%22	https://cdnjs.cloudflare.com/ajax/libs/remodal/1.1.1/remodal.min.css	C:/Users/INNOVA/Downloads/Patrimonio2/cdnjs.cloudflare.com/ajax/libs/remodal/1.1.1/remodal.min.css	(from https://patrimonio-fc567d.webflow.io/)
12:10:26	3703/3703	---M-Z	200	added ('OK')	text/css	etag:%225eb03fbf-e77%22	https://cdnjs.cloudflare.com/ajax/libs/remodal/1.1.1/remodal-default-theme.min.css	C:/Users/INNOVA/Downloads/Patrimonio2/cdnjs.cloudflare.com/ajax/libs/remodal/1.1.1/remodal-default-theme.min.css	(from https://patrimonio-fc567d.webflow.io/)
12:10:26	105034/105034	---M--	200	added ('OK')	image/png	etag:%22754c6fe982472f5ddc729177124b7f12%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e1f_hero_elem-01.png	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e1f_hero_elem-01.png	(from https://patrimonio-fc567d.webflow.io/)
12:10:26	23927/23927	---M--	200	added ('OK')	image/png	etag:%2228df74c4e203f8adefc70d78e0fcd505%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e1e_hero_elem-02.png	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e1e_hero_elem-02.png	(from https://patrimonio-fc567d.webflow.io/)
12:10:26	28457/28457	---M--	200	added ('OK')	image/png	etag:%226b604613b18a0a0056faaad7a15af28f%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e42_visit_elem-01.png	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e42_visit_elem-01.png	(from https://patrimonio-fc567d.webflow.io/)
12:10:27	134621/134621	---M--	200	added ('OK')	image/png	etag:%2243cc14d5e32e61ac4b4cfb9932554870%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e4f_bg_shine-01.png	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e4f_bg_shine-01.png	(from https://patrimonio-fc567d.webflow.io/)
12:10:27	425970/425970	---M--	200	added ('OK')	image/png	etag:%22d716b682a491a112c792f9fef31bc7e7%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e2a_media_illustr.png	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e2a_media_illustr.png	(from https://patrimonio-fc567d.webflow.io/)
12:10:27	92457/92457	---M--	200	added ('OK')	image/png	etag:%22c4ae37c96d8b98e10bdd6435942aca60%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e4e_bg_shine-02.png	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e4e_bg_shine-02.png	(from https://patrimonio-fc567d.webflow.io/)
12:10:27	71353/71353	---M--	200	added ('OK')	image/png	etag:%2252692d1703070977b5409ca0e7bee9e2%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e3f_audio_01.png	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e3f_audio_01.png	(from https://patrimonio-fc567d.webflow.io/)
12:10:28	39824/39824	---M--	200	added ('OK')	image/png	etag:%22efd72644db845123dc83044bc59cc8ca%22	https://cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e3e_audio_02.png	C:/Users/INNOVA/Downloads/Patrimonio2/cdn.prod.website-files.com/67d46219fdf9dba83b5e4b78/67d46219fdf9dba83b5e4e3e_audio_02.png	(from https://patrimonio-fc567d.webflow.io/)
